danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,id,mood,motivation,release_decade
0.367,0.111,-14.084,0.0972,0.978,3.97e-05,0.198,82.642,43zdsphuZLzwA9k4DJhU0I,0.0,0.0,2010s
0.369,0.272,-10.497,0.0364,0.866,0.0,0.218,172.929,5JCoSi02qi3jJeHdZXMmR8,0.0,0.0,2020s
0.614,0.379,-10.48,0.0476,0.607,0.000464,0.201,107.989,1HNkqx9Ahdgi1Ixy2xkKkL,0.0,0.0,2010s
0.567,0.267,-6.502,0.0299,0.839,1.46e-06,0.0592,110.011,1ZMiCix7XSAbfAJlEZWMCp,0.0,0.0,2010s
0.351,0.296,-10.109,0.0333,0.934,0.0,0.12,115.284,0u2P5u6lvoDfwTYjAADbn4,0.0,0.0,2010s
0.675,0.16,-11.667,0.0586,0.985,0.00688,0.247,69.754,2TzkIzgzIHhewMxyh1u4hh,0.0,0.0,2010s
0.784,0.689,-8.216,0.0385,0.759,0.00536,0.332,124.025,0z5yLgBmAtaylDYrgwzlpH,0.0,1.0,2020s
0.83,0.159,-14.461,0.0383,0.946,2.02e-05,0.189,104.95,0akyEssGRVHstqCSWXusJL,0.0,0.0,2010s
0.544,0.216,-17.237,0.0402,0.922,0.311,0.145,75.004,7dT9D6117e5DbhnKxDLNW9,0.0,0.0,2010s
0.66,0.379,-9.357,0.0543,0.798,0.0,0.0762,124.027,4l0RmWt52FxpVxMNni6i63,0.0,0.0,2020s
0.545,0.366,-9.51,0.0378,0.969,0.267,0.1,86.997,0QZ5yyl6B6utIWkxeBDxQN,0.0,0.0,2010s
0.556,0.319,-8.251,0.0281,0.893,0.0,0.294,135.187,1zwMYTA5nlNjZxYrvBB2pV,0.0,0.0,2010s
0.629,0.328,-8.284,0.029,0.768,2.5e-05,0.389,74.953,1TQXIltqoZ5XXyfCbAeSQQ,0.0,0.0,2010s
0.622,0.117,-10.055,0.0382,0.969,0.0,0.315,120.984,4brw4anhV4og38Rv6o1dBa,0.0,0.0,2010s
0.522,0.385,-7.355,0.0288,0.536,0.0,0.236,89.792,2RttW7RAu5nOAfq6YFvApB,0.0,0.0,2010s
0.541,0.153,-10.654,0.0303,0.882,1.66e-06,0.359,139.644,7F1CiKqrY44kh5cDqwHOnx,0.0,0.0,2010s
0.45,0.329,-12.603,0.0441,0.818,0.00109,0.266,71.884,1Xi84slp6FryDSCbzq4UCD,0.0,0.0,2010s
0.566,0.647,-6.815,0.0335,0.0477,0.0,0.22,111.96,1Ist6PR2BZR3n2z2Y5R6S1,0.0,1.0,2010s
0.498,0.235,-16.541,0.188,0.72,0.0,0.0895,118.917,4ZLzoOkj0MPWrTLvooIuaa,0.0,0.0,2010s
0.319,0.0561,-23.023,0.045,0.935,0.00384,0.082,79.764,0tMSssfxAL2oV8Vri0mFHE,0.0,0.0,2010s
0.502,0.168,-14.061,0.0486,0.885,0.0,0.355,112.881,219slQu3ALbTSAe9P22hvE,0.0,0.0,2020s
0.331,0.341,-6.057,0.0309,0.528,0.0,0.152,109.821,7B5Npv8NjjTCzk8PLpU66h,0.0,0.0,2010s
0.445,0.179,-12.938,0.0396,0.952,0.00056,0.119,72.246,4KlL5Bwlm4yHYxr0B2rHci,0.0,0.0,2010s
0.654,0.354,-7.358,0.0738,0.724,0.0,0.262,81.956,2x8oBuYaObjqHqgGuIUZ0b,0.0,0.0,2020s
0.405,0.111,-11.879,0.0369,0.964,4.37e-05,0.219,116.86,5sF7hdYvhrcgNq8NZjfK8L,0.0,0.0,2010s
0.481,0.81,-5.704,0.133,0.234,0.0,0.328,175.697,0mGvaKpwLYoybnIoboC3uS,0.0,1.0,2010s
0.795,0.238,-20.338,0.369,0.487,0.000106,0.399,100.996,30pCOQE19RvNmHq78Svlkm,0.0,0.0,2010s
0.47,0.235,-7.298,0.038,0.933,0.0,0.134,103.87,1UDToCUvhfhYrTFxA1Xi4w,0.0,0.0,2000s
0.505,0.207,-12.4,0.032,0.963,0.0122,0.323,109.708,3ppzEzYnSKIBZ2tndbmOLp,0.0,0.0,2010s
0.53,0.281,-8.274,0.0577,0.798,0.0,0.341,122.442,6U1iuA5QfzYRPJxvdcxqtf,0.0,0.0,2020s
0.637,0.723,-4.476,0.187,0.615,0.0,0.708,91.784,5BopknbHSxEm9Ohcs4IbGu,1.0,1.0,2020s
0.511,0.621,-8.751,0.123,0.471,9.72e-05,0.266,129.885,5zvJELVKAnPkscGc5aLKJI,0.0,1.0,2010s
0.397,0.303,-10.413,0.11,0.798,4.16e-06,0.17,170.22,0STK94RxUulYqWzwFlyAb5,0.0,0.0,2010s
0.296,0.351,-9.538,0.0352,0.823,1.45e-06,0.19,177.06,15xWRPHQMeqgdkGzInx3PY,0.0,0.0,2010s
0.483,0.361,-7.889,0.0738,0.832,4.66e-06,0.307,171.649,2ZTYlnhhV1UAReg7wIGolx,0.0,0.0,2020s
0.359,0.643,-6.076,0.0338,0.677,0.00222,0.322,140.927,1MtxOSpyeHEQEUV2NtkK1H,0.0,1.0,2020s
